FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I011721AS1Y16Y17RC,C223,C223,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C224,C224,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C227,C227,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C228,C228,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C229,C229,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C23,C23,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C240,C240,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C241,C241,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C248,C248,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C249,C249,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C250,C250,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C251,C251,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C252,C252,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C253,C253,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C254,C254,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C257,C257,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C258,C258,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
